campaign,group,keyword,url,utm
П4_Поиск_Трудовой,П4 Трудовой ядро,"""трудовой договор яндекс такси""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""трудовой договор такси""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""работа в такси по трудовому договору""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""подключение к яндекс такси трудовой договор""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""яндекс такси трудовой договор""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""такси трудовой договор""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""официальное трудоустройство такси""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""работа такси с трудоустройством""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""яндекс такси оформление по тк""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""яндекс такси по трудовому договору""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""трудовой договор водитель такси""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""оформить трудовой договор такси""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Трудовой ядро,"""таксопарк трудовой договор""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""работа в такси без самозанятости""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""яндекс такси без самозанятости""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""работа в яндекс такси без ип""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""такси без самозанятости и ип""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""подключение к яндекс такси без самозанятости""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
П4_Поиск_Трудовой,П4 Без СМЗ и ИП,"""водитель такси без смз""",https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword},p4_trudovoj
